merchant_id,FMer1,FMer2,FMer3
7194,42.0,1.0,135.0
8533,109.0,2.0,180.0
2075,15.0,3.0,53.0
4068,0.0,0.0,25.0
4519,12.0,1.0,18.0
5632,98.0,1.0,101.0
1553,65.0,2.0,38.0
860,17.0,4.0,21.0
979,13.0,6.0,22.0
4885,325.0,90.0,465.0
4570,119.0,19.0,102.0
6735,676.0,84.0,1562.0
915,169.0,5.0,173.0
8021,55.0,1.0,41.0
3492,30.0,5.0,14.0
4661,1982.0,23.0,589.0
4936,82.0,2.0,52.0
2634,1392.0,16.0,330.0
113,67.0,4.0,106.0
7684,15.0,0.0,44.0
7647,16.0,0.0,17.0
7605,795.0,182.0,1212.0
8517,17.0,0.0,67.0
6093,0.0,0.0,7.0
5709,40.0,4.0,31.0
229,24.0,2.0,32.0
4043,4241.0,221.0,1572.0
6389,10.0,2.0,129.0
7113,5273.0,115.0,3487.0
2854,382.0,14.0,420.0
2180,22.0,1.0,33.0
7917,351.0,17.0,461.0
6021,1948.0,55.0,1463.0
1398,121.0,18.0,110.0
4439,9.0,1.0,23.0
5327,26.0,3.0,53.0
6378,59.0,13.0,71.0
4070,642.0,106.0,809.0
811,0.0,0.0,39.0
4807,237.0,8.0,223.0
2050,1333.0,102.0,1786.0
8181,7036.0,482.0,4626.0
297,20.0,0.0,21.0
7838,1625.0,112.0,330.0
2842,12.0,1.0,31.0
1212,7.0,0.0,9.0
8775,1068.0,498.0,3832.0
1832,9.0,1.0,23.0
582,131.0,18.0,89.0
1312,0.0,0.0,16.0
4130,44.0,18.0,268.0
7909,1008.0,11.0,190.0
1812,314.0,12.0,210.0
8211,3806.0,10.0,155.0
6494,10.0,7.0,10.0
504,8.0,2.0,12.0
744,288.0,3.0,391.0
6586,5.0,0.0,7.0
5136,33.0,5.0,52.0
656,26.0,6.0,64.0
2648,23.0,3.0,21.0
3251,1362.0,118.0,1707.0
4871,0.0,0.0,8.0
5557,119.0,18.0,109.0
1956,0.0,0.0,22.0
1089,7.0,1.0,17.0
5627,41.0,6.0,72.0
5407,0.0,0.0,86.0
4024,3.0,1.0,16.0
3406,222.0,16.0,220.0
5591,2655.0,378.0,6362.0
3706,1196.0,16.0,392.0
2036,892.0,124.0,374.0
6227,114.0,16.0,202.0
7913,2097.0,123.0,1191.0
711,17.0,2.0,79.0
8292,187.0,108.0,545.0
5985,20.0,7.0,86.0
576,319.0,11.0,229.0
2852,163.0,13.0,272.0
797,4068.0,988.0,4735.0
5819,47.0,2.0,46.0
5777,72.0,5.0,179.0
8490,6.0,2.0,11.0
3740,8.0,3.0,12.0
6135,1845.0,676.0,1820.0
2691,674.0,48.0,625.0
7011,867.0,163.0,1881.0
3449,346.0,11.0,248.0
835,11.0,0.0,9.0
904,198.0,36.0,400.0
6683,1374.0,434.0,2625.0
1655,50.0,3.0,43.0
8613,23.0,7.0,50.0
8697,15.0,7.0,26.0
447,55.0,2.0,42.0
2661,290.0,24.0,247.0
7070,6.0,2.0,14.0
7221,1784.0,326.0,2199.0
512,68.0,43.0,153.0
3733,9.0,4.0,14.0
8174,7.0,0.0,31.0
2382,54.0,7.0,40.0
4036,8.0,2.0,30.0
3284,2261.0,557.0,5412.0
7903,1607.0,572.0,3280.0
961,92.0,0.0,77.0
7243,1192.0,96.0,1115.0
2020,747.0,18.0,275.0
42,541.0,65.0,1373.0
7811,14.0,4.0,37.0
7098,21.0,6.0,31.0
6909,3.0,1.0,14.0
1017,11.0,0.0,11.0
4883,940.0,194.0,1442.0
357,3.0,1.0,40.0
8095,14.0,3.0,55.0
2714,202.0,30.0,269.0
129,641.0,261.0,2210.0
4116,207.0,17.0,405.0
8366,50.0,4.0,131.0
4478,9.0,1.0,1.0
58,732.0,135.0,2851.0
5113,775.0,2.0,263.0
1166,0.0,0.0,6.0
6871,12.0,0.0,25.0
4552,0.0,0.0,5.0
2649,0.0,0.0,2.0
187,158.0,26.0,255.0
6024,173.0,67.0,586.0
6288,466.0,27.0,174.0
660,0.0,0.0,13.0
8316,16.0,6.0,34.0
2731,144.0,52.0,531.0
8844,232.0,12.0,602.0
8597,48.0,1.0,42.0
2550,28.0,3.0,60.0
2400,27.0,2.0,50.0
6122,55.0,1.0,40.0
1715,1529.0,130.0,1368.0
2202,50.0,19.0,163.0
1616,20.0,13.0,76.0
2420,1794.0,3.0,78.0
8651,65.0,3.0,117.0
6926,159.0,15.0,34.0
7539,30.0,2.0,50.0
7312,19.0,3.0,24.0
1073,239.0,3.0,182.0
1839,520.0,13.0,455.0
1979,0.0,0.0,90.0
8309,35.0,4.0,76.0
963,22.0,12.0,57.0
2286,22.0,0.0,22.0
5829,143.0,1.0,125.0
4821,98.0,1.0,143.0
996,125.0,30.0,164.0
6190,0.0,0.0,95.0
4309,53.0,1.0,232.0
3792,281.0,1.0,995.0
5608,25.0,8.0,37.0
4523,92.0,2.0,46.0
8438,304.0,16.0,240.0
8376,15.0,0.0,8.0
3546,217.0,70.0,656.0
4356,985.0,95.0,1977.0
6515,329.0,46.0,367.0
4314,169.0,2.0,408.0
6121,38.0,5.0,116.0
3923,26.0,1.0,50.0
2622,999.0,87.0,1539.0
2508,11.0,0.0,56.0
1898,24.0,18.0,55.0
398,1088.0,34.0,189.0
3679,1145.0,8.0,275.0
6524,19.0,3.0,254.0
3550,416.0,14.0,326.0
5020,2.0,0.0,7.0
7718,6.0,2.0,32.0
476,0.0,0.0,10.0
6291,0.0,0.0,10.0
8305,3280.0,75.0,963.0
8311,0.0,0.0,10.0
6610,92.0,1.0,202.0
1001,24.0,14.0,38.0
3173,326.0,15.0,534.0
351,43.0,28.0,92.0
866,9.0,2.0,10.0
7428,271.0,50.0,505.0
6404,106.0,7.0,80.0
3453,18.0,2.0,34.0
4249,0.0,0.0,36.0
1525,0.0,0.0,14.0
451,138.0,15.0,256.0
1735,511.0,15.0,345.0
527,9.0,0.0,18.0
2479,74.0,12.0,150.0
1256,17.0,3.0,47.0
209,3706.0,379.0,1213.0
6949,8.0,0.0,21.0
3040,16.0,0.0,15.0
5474,30.0,5.0,28.0
7078,78.0,22.0,375.0
5768,0.0,0.0,17.0
1352,57.0,4.0,143.0
2233,65.0,6.0,131.0
2543,5.0,1.0,7.0
1873,48.0,0.0,31.0
3802,15.0,2.0,92.0
3964,6.0,1.0,15.0
4675,84.0,10.0,225.0
3750,144.0,9.0,74.0
1307,6.0,2.0,10.0
5223,16.0,4.0,41.0
5294,107.0,16.0,117.0
1072,634.0,62.0,726.0
1083,61.0,1.0,82.0
6604,40.0,8.0,39.0
1605,27.0,5.0,17.0
4053,76.0,8.0,58.0
5414,7.0,4.0,187.0
892,262.0,19.0,405.0
4777,4.0,0.0,23.0
4909,2518.0,6.0,64.0
2734,0.0,0.0,57.0
5870,240.0,37.0,348.0
380,817.0,178.0,2123.0
2813,1272.0,135.0,1337.0
373,3.0,0.0,57.0
1807,64.0,10.0,101.0
2574,50.0,6.0,129.0
7369,67.0,4.0,73.0
2104,71.0,7.0,150.0
5107,0.0,0.0,55.0
8653,519.0,50.0,716.0
2272,0.0,0.0,3.0
6762,220.0,5.0,155.0
1118,43.0,5.0,20.0
6582,182.0,47.0,422.0
3416,0.0,0.0,24.0
3434,6.0,3.0,35.0
882,0.0,0.0,26.0
7667,76.0,5.0,86.0
5045,112.0,25.0,297.0
7319,96.0,8.0,135.0
8010,9.0,1.0,9.0
4419,30.0,1.0,34.0
6574,24.0,4.0,29.0
3330,34.0,3.0,123.0
7483,1411.0,385.0,2340.0
3541,5.0,0.0,35.0
7506,25.0,2.0,34.0
6858,27.0,12.0,76.0
2676,83.0,9.0,320.0
8643,11.0,1.0,12.0
4787,2.0,1.0,100.0
4302,14.0,1.0,17.0
1440,209.0,45.0,490.0
6761,51.0,7.0,56.0
1157,72.0,6.0,187.0
5545,20.0,4.0,26.0
913,116.0,35.0,189.0
6298,9.0,1.0,15.0
6033,19.0,6.0,218.0
4102,61.0,7.0,77.0
1555,0.0,0.0,8.0
6513,182.0,19.0,114.0
7807,0.0,0.0,22.0
5199,118.0,19.0,321.0
5314,34.0,1.0,30.0
6047,1.0,0.0,5.0
3813,47.0,7.0,115.0
669,0.0,0.0,5.0
7648,81.0,20.0,220.0
4823,11.0,1.0,16.0
2610,405.0,124.0,889.0
5907,27.0,6.0,30.0
4449,1.0,0.0,16.0
6210,49.0,1.0,1.0
6072,11.0,3.0,20.0
970,459.0,127.0,862.0
6551,136.0,2.0,198.0
5954,131.0,41.0,274.0
3431,57.0,14.0,79.0
8253,5.0,0.0,193.0
5755,524.0,18.0,538.0
5801,12.0,1.0,1.0
6575,140.0,25.0,171.0
6562,11.0,0.0,21.0
75,89.0,30.0,132.0
7886,13.0,3.0,25.0
6763,33.0,2.0,50.0
7344,1.0,0.0,7.0
2022,453.0,48.0,416.0
3552,5.0,1.0,55.0
7302,33.0,8.0,23.0
1211,0.0,0.0,8.0
8276,99.0,0.0,48.0
7418,337.0,89.0,468.0
1948,21.0,6.0,28.0
5867,17.0,2.0,47.0
8771,146.0,8.0,8.0
3551,103.0,3.0,46.0
5601,17.0,4.0,44.0
7715,0.0,0.0,10.0
5074,385.0,7.0,449.0
3360,79.0,32.0,163.0
3176,0.0,0.0,66.0
5377,28.0,4.0,14.0
3464,0.0,0.0,18.0
6803,206.0,21.0,285.0
3533,141.0,56.0,464.0
6372,72.0,9.0,65.0
6570,14.0,4.0,18.0
8662,68.0,19.0,381.0
6900,21.0,1.0,38.0
7046,4.0,2.0,93.0
984,545.0,72.0,717.0
3791,1.0,0.0,0.0
7633,0.0,0.0,1.0
4191,35.0,0.0,26.0
7495,57.0,3.0,77.0
5043,13.0,1.0,18.0
3152,3.0,1.0,5.0
4269,0.0,0.0,5.0
6336,109.0,4.0,154.0
435,38.0,1.0,58.0
3236,4.0,2.0,32.0
537,0.0,0.0,6.0
8825,42.0,1.0,39.0
3264,0.0,0.0,45.0
3673,305.0,55.0,536.0
3518,270.0,59.0,333.0
6481,462.0,24.0,437.0
1993,37.0,12.0,59.0
6898,6.0,1.0,13.0
1803,11.0,2.0,677.0
3362,115.0,22.0,513.0
8206,25.0,0.0,34.0
7465,30.0,4.0,77.0
7279,60.0,31.0,75.0
2331,10.0,4.0,26.0
7392,9.0,2.0,12.0
4785,17.0,1.0,41.0
8254,102.0,6.0,180.0
3871,204.0,33.0,85.0
6358,10.0,0.0,10.0
207,79.0,5.0,69.0
5041,301.0,26.0,280.0
5840,13.0,0.0,71.0
4258,36.0,1.0,21.0
2434,96.0,8.0,390.0
4377,132.0,41.0,239.0
7613,77.0,5.0,471.0
3063,0.0,0.0,21.0
3709,25.0,5.0,61.0
3655,287.0,18.0,142.0
4370,17.0,0.0,50.0
8693,79.0,14.0,70.0
7921,850.0,129.0,1330.0
7808,21.0,1.0,27.0
6710,249.0,2.0,133.0
4748,264.0,20.0,227.0
7033,0.0,0.0,15.0
2032,3.0,0.0,31.0
1841,20.0,6.0,37.0
2422,101.0,23.0,124.0
17,37.0,4.0,63.0
5520,19.0,1.0,68.0
8424,2.0,2.0,17.0
8059,8.0,0.0,32.0
7460,61.0,8.0,83.0
495,35.0,2.0,68.0
7439,6.0,3.0,17.0
4074,11.0,5.0,56.0
1786,9.0,1.0,4.0
5413,275.0,29.0,324.0
1885,0.0,0.0,1.0
6650,849.0,117.0,1437.0
173,105.0,45.0,153.0
1254,0.0,0.0,7.0
8808,68.0,17.0,114.0
4137,46.0,4.0,31.0
5828,27.0,6.0,54.0
3656,74.0,36.0,116.0
8033,20.0,8.0,64.0
8721,177.0,10.0,306.0
5289,27.0,4.0,33.0
958,51.0,12.0,204.0
6044,71.0,5.0,201.0
3348,7.0,1.0,20.0
6959,2.0,0.0,4.0
4232,1.0,1.0,1.0
2080,242.0,37.0,406.0
3276,19.0,3.0,30.0
2824,0.0,0.0,4.0
4577,261.0,12.0,239.0
7745,23.0,7.0,23.0
2652,56.0,4.0,53.0
8263,11.0,3.0,29.0
8135,19.0,1.0,39.0
2660,105.0,1.0,150.0
6212,21.0,2.0,19.0
3903,54.0,2.0,73.0
8422,184.0,62.0,368.0
7093,19.0,0.0,21.0
1187,33.0,4.0,33.0
5179,123.0,6.0,241.0
6029,76.0,3.0,35.0
3971,63.0,12.0,130.0
386,40.0,11.0,34.0
8433,220.0,59.0,596.0
5363,68.0,3.0,121.0
939,42.0,7.0,319.0
5788,18.0,0.0,123.0
1905,250.0,50.0,249.0
8536,64.0,19.0,208.0
4037,29.0,2.0,14.0
7651,0.0,0.0,5.0
4272,56.0,11.0,60.0
7797,23.0,1.0,40.0
7486,11.0,0.0,47.0
4299,19.0,4.0,21.0
7672,74.0,3.0,90.0
7956,0.0,0.0,12.0
2667,132.0,20.0,323.0
4945,80.0,4.0,82.0
5602,27.0,2.0,38.0
122,92.0,8.0,205.0
4793,14.0,2.0,26.0
1194,90.0,13.0,111.0
1585,198.0,54.0,555.0
1472,41.0,6.0,63.0
4427,119.0,19.0,379.0
5032,253.0,17.0,120.0
1346,16.0,2.0,13.0
2285,219.0,10.0,228.0
7919,13.0,1.0,7.0
7487,420.0,11.0,362.0
6000,136.0,13.0,130.0
8025,9.0,3.0,39.0
4696,67.0,2.0,63.0
1188,15.0,10.0,35.0
1892,333.0,42.0,384.0
5586,18.0,6.0,37.0
503,95.0,15.0,220.0
87,73.0,2.0,99.0
420,15.0,3.0,49.0
6944,10.0,1.0,7.0
8144,166.0,35.0,336.0
1243,69.0,7.0,55.0
8216,95.0,12.0,53.0
196,15.0,4.0,14.0
281,109.0,9.0,78.0
6815,0.0,0.0,22.0
7237,44.0,5.0,89.0
7632,4.0,1.0,57.0
8496,39.0,10.0,86.0
3245,29.0,3.0,55.0
5396,22.0,2.0,46.0
3578,0.0,0.0,310.0
6963,259.0,53.0,723.0
1827,8.0,5.0,13.0
1366,15.0,1.0,10.0
4713,8.0,0.0,12.0
2407,31.0,1.0,67.0
1430,55.0,7.0,44.0
4387,7.0,2.0,8.0
4942,46.0,12.0,394.0
8022,754.0,89.0,732.0
3847,426.0,81.0,603.0
461,41.0,3.0,34.0
3035,152.0,6.0,222.0
2629,12.0,1.0,15.0
346,10.0,3.0,20.0
3773,53.0,10.0,159.0
8570,27.0,2.0,67.0
1526,171.0,25.0,150.0
5009,18.0,4.0,17.0
5183,67.0,0.0,78.0
3815,6.0,1.0,47.0
4154,16.0,0.0,11.0
1936,306.0,11.0,155.0
2689,0.0,0.0,5.0
3390,102.0,3.0,3.0
6597,61.0,25.0,454.0
7374,514.0,52.0,206.0
391,145.0,16.0,331.0
8594,133.0,3.0,341.0
4758,0.0,0.0,89.0
1246,6.0,2.0,4.0
2005,27.0,1.0,22.0
4931,15.0,2.0,30.0
5393,13.0,4.0,34.0
2912,42.0,2.0,66.0
1818,20.0,3.0,34.0
547,40.0,18.0,210.0
2391,47.0,0.0,50.0
1794,53.0,6.0,139.0
1442,12.0,1.0,14.0
5138,461.0,69.0,1047.0
4801,17.0,1.0,23.0
7470,33.0,1.0,58.0
2029,0.0,0.0,10.0
5472,20.0,7.0,227.0
7729,0.0,0.0,29.0
8655,15.0,1.0,44.0
1013,44.0,5.0,93.0
6825,238.0,39.0,151.0
5127,71.0,9.0,278.0
7347,83.0,12.0,68.0
1494,167.0,1.0,579.0
8384,16.0,5.0,33.0
3897,87.0,10.0,130.0
4384,7.0,1.0,31.0
4498,12.0,4.0,15.0
729,21.0,4.0,91.0
8353,25.0,5.0,44.0
974,229.0,22.0,213.0
931,83.0,51.0,203.0
7601,31.0,12.0,79.0
7024,14.0,1.0,45.0
96,436.0,19.0,476.0
2848,101.0,43.0,140.0
1208,6.0,2.0,86.0
3872,0.0,0.0,113.0
3125,0.0,0.0,11.0
3447,322.0,16.0,273.0
8291,23.0,3.0,49.0
154,0.0,0.0,23.0
7357,14.0,3.0,26.0
1598,27.0,0.0,226.0
1300,100.0,17.0,219.0
3232,185.0,108.0,779.0
5554,0.0,0.0,133.0
618,38.0,5.0,184.0
5212,5.0,3.0,98.0
5151,0.0,0.0,8.0
6213,0.0,0.0,9.0
1943,98.0,2.0,95.0
8676,30.0,7.0,29.0
6020,283.0,29.0,191.0
4515,258.0,57.0,735.0
1345,36.0,1.0,53.0
3513,42.0,9.0,62.0
3385,0.0,0.0,20.0
3145,0.0,0.0,19.0
8323,17.0,0.0,17.0
5080,20.0,0.0,18.0
4510,0.0,0.0,21.0
3025,62.0,15.0,182.0
8702,11.0,2.0,30.0
6092,81.0,10.0,163.0
4081,0.0,0.0,15.0
2144,14.0,3.0,23.0
7209,1.0,1.0,57.0
1767,46.0,3.0,55.0
3519,19.0,2.0,41.0
7318,198.0,52.0,454.0
5449,0.0,0.0,5.0
7776,55.0,1.0,26.0
1448,99.0,7.0,82.0
3566,4.0,3.0,13.0
952,12.0,2.0,16.0
5988,8.0,1.0,10.0
7697,0.0,0.0,18.0
1866,37.0,2.0,36.0
5270,250.0,8.0,226.0
1542,8.0,5.0,13.0
2540,15.0,0.0,254.0
3688,0.0,0.0,1.0
6829,11.0,1.0,53.0
4809,22.0,0.0,15.0
4155,135.0,8.0,137.0
6316,32.0,3.0,125.0
946,0.0,0.0,14.0
2740,0.0,0.0,1.0
3202,2.0,1.0,28.0
1580,0.0,0.0,324.0
6371,37.0,3.0,52.0
1060,0.0,0.0,35.0
771,26.0,0.0,23.0
1185,9.0,6.0,24.0
2423,52.0,3.0,291.0
3935,5.0,2.0,7.0
1002,8.0,0.0,11.0
6480,2.0,0.0,31.0
4583,97.0,8.0,147.0
2745,8.0,0.0,0.0
6987,76.0,7.0,77.0
755,70.0,5.0,91.0
3527,197.0,40.0,637.0
3641,133.0,26.0,330.0
3670,0.0,0.0,24.0
5825,17.0,5.0,26.0
3559,95.0,13.0,158.0
7222,59.0,0.0,5.0
8678,231.0,83.0,501.0
5905,0.0,0.0,37.0
4808,349.0,87.0,915.0
3836,11.0,1.0,25.0
517,161.0,111.0,1433.0
1501,0.0,0.0,5.0
3823,7.0,4.0,46.0
8355,34.0,3.0,58.0
5965,77.0,2.0,187.0
1339,6.0,1.0,37.0
2787,0.0,0.0,12.0
2177,18.0,7.0,38.0
180,0.0,0.0,6.0
5575,12.0,0.0,60.0
6333,30.0,5.0,61.0
5256,587.0,170.0,668.0
6542,225.0,5.0,386.0
8265,27.0,6.0,74.0
5821,127.0,3.0,157.0
6664,111.0,6.0,97.0
6511,97.0,10.0,131.0
286,275.0,11.0,266.0
2706,9.0,0.0,14.0
8636,24.0,3.0,47.0
7550,90.0,3.0,141.0
6749,65.0,4.0,84.0
5,28.0,3.0,54.0
7213,343.0,78.0,460.0
6186,152.0,68.0,309.0
8466,77.0,2.0,51.0
814,164.0,9.0,9.0
2855,12.0,3.0,51.0
5408,145.0,6.0,184.0
8761,11.0,0.0,11.0
5230,8.0,0.0,10.0
8186,142.0,1.0,89.0
5420,31.0,2.0,32.0
8020,23.0,8.0,36.0
3075,201.0,9.0,114.0
7792,24.0,2.0,165.0
1644,123.0,25.0,116.0
4687,96.0,7.0,233.0
1371,0.0,0.0,3.0
2389,28.0,2.0,72.0
5910,21.0,2.0,21.0
7498,0.0,0.0,24.0
7490,105.0,22.0,133.0
4753,64.0,5.0,108.0
1290,6.0,2.0,5.0
674,53.0,11.0,77.0
2783,110.0,7.0,160.0
35,70.0,5.0,96.0
4535,10.0,2.0,9.0
5434,2.0,0.0,22.0
6824,5.0,0.0,13.0
7749,0.0,0.0,16.0
1011,107.0,10.0,102.0
3857,78.0,5.0,68.0
2532,88.0,2.0,78.0
2345,243.0,117.0,435.0
487,12.0,0.0,33.0
6882,0.0,0.0,92.0
1916,32.0,4.0,97.0
1702,8.0,6.0,9.0
638,29.0,10.0,40.0
3291,78.0,15.0,91.0
6832,14.0,5.0,30.0
1445,0.0,0.0,13.0
7105,0.0,0.0,20.0
2471,0.0,0.0,4.0
178,78.0,10.0,92.0
4331,52.0,3.0,43.0
5006,361.0,66.0,584.0
1692,6.0,0.0,14.0
2799,0.0,0.0,15.0
6396,0.0,0.0,15.0
7628,13.0,1.0,9.0
5265,68.0,7.0,72.0
2493,0.0,0.0,110.0
4095,4.0,0.0,6.0
132,32.0,3.0,63.0
2041,0.0,0.0,22.0
5484,5.0,1.0,1.0
2463,35.0,16.0,104.0
5290,7.0,1.0,26.0
4030,31.0,10.0,76.0
2333,225.0,8.0,173.0
4584,153.0,21.0,366.0
5288,17.0,2.0,28.0
8646,14.0,0.0,11.0
7906,10.0,0.0,16.0
6296,2.0,1.0,189.0
6549,104.0,38.0,117.0
1272,0.0,0.0,13.0
8773,65.0,14.0,155.0
3088,0.0,0.0,23.0
2726,27.0,5.0,36.0
1867,0.0,0.0,17.0
7612,313.0,22.0,317.0
7782,24.0,3.0,69.0
2164,35.0,14.0,52.0
8224,0.0,0.0,3.0
8126,33.0,11.0,115.0
683,238.0,8.0,25.0
664,30.0,9.0,48.0
6195,281.0,43.0,373.0
6036,4.0,1.0,26.0
468,0.0,0.0,5.0
7206,135.0,63.0,556.0
6805,305.0,6.0,277.0
8230,5.0,1.0,163.0
8274,26.0,3.0,73.0
2720,2.0,1.0,16.0
2623,0.0,0.0,58.0
5507,97.0,44.0,269.0
7106,9.0,1.0,98.0
3997,38.0,12.0,102.0
8439,2.0,1.0,4.0
2716,0.0,0.0,26.0
7297,64.0,7.0,227.0
1797,0.0,0.0,5.0
7543,0.0,0.0,17.0
3116,56.0,1.0,59.0
7232,22.0,5.0,129.0
5371,50.0,6.0,71.0
7438,375.0,63.0,164.0
1631,91.0,17.0,109.0
7591,16.0,0.0,51.0
1358,0.0,0.0,14.0
6380,57.0,5.0,52.0
1277,0.0,0.0,9.0
1336,279.0,20.0,369.0
3112,166.0,37.0,331.0
6249,0.0,0.0,12.0
4220,168.0,21.0,142.0
1962,18.0,8.0,606.0
1701,3.0,0.0,9.0
6642,26.0,0.0,25.0
5313,24.0,0.0,45.0
5102,0.0,0.0,7.0
4839,0.0,0.0,116.0
3732,20.0,6.0,140.0
131,7.0,1.0,14.0
5646,0.0,0.0,41.0
5030,32.0,2.0,43.0
4282,83.0,1.0,154.0
6740,13.0,2.0,29.0
596,0.0,0.0,6.0
3672,3.0,0.0,8.0
4572,0.0,0.0,166.0
616,10.0,2.0,8.0
3483,5.0,2.0,2.0
4083,884.0,291.0,1253.0
6615,31.0,13.0,92.0
7721,79.0,7.0,70.0
1656,168.0,4.0,496.0
3175,31.0,6.0,74.0
3203,7.0,2.0,24.0
8109,7.0,1.0,26.0
7324,38.0,6.0,22.0
2553,0.0,0.0,16.0
3917,33.0,10.0,96.0
2433,174.0,43.0,795.0
6375,97.0,43.0,157.0
7907,39.0,6.0,39.0
6955,135.0,50.0,238.0
4719,5.0,0.0,2.0
4789,43.0,4.0,71.0
2366,2.0,1.0,17.0
3155,114.0,7.0,96.0
